fmt,10.1.1,#
spdlog,1.12.0,
boost,1.83.0, 
eigen,3.4.0,MPL2_only=True
cli11,2.3.2, 
nlohmann_json,3.11.3, 
magic_enum,0.9.2, 
ctre,3.7.2, 
inja,3.4.0, 
cpr,1.10.5,
gsl-lite,0.40.0, 
tl-expected,1.1.0, 
libusb,1.0.26,shared=True
concurrentqueue,1.0.4, 
sol2,3.3.1,with_lua=luajit
ftxui,5.0.0, 
valijson,1.0.1, 
pugixml,1.13,header_only=True
range-v3,0.12.0, 
foonathan-lexy,2022.12.1, 
aravis,0.8.25,tools=False;shared=True
blend2d,0.10.5,shared=True
serial,1.2.1,shared=True
opencv,4.8.1,shared=True;with_ffmpeg=False;video=False;videoio=False
icu,74.1,shared=True
highfive,2.8.0,
mp-units,2.0.0,
catch2,3.5.0,
